id,created_at,text
910918016883343360,2017-09-21 17:25:53,A project called A2D2 will explore new applications for compact linear accelerators: https://t.co/xbIQCLY0Dn
910917652238893056,2017-09-21 17:24:26,RT @Fermilab: This is a big deal! The UK has agreed to help build the next great particle physics experiment in the US. https://t.co/DIWKzP…
910881325917274112,2017-09-21 15:00:06,"How sensitive is too sensitive for a dark matter experiment? https://t.co/bxCUbcHLCC"
910820915306475520,2017-09-21 11:00:03,Eight things you might not know about light: https://t.co/piUh4MdYWc
910594424278831105,2017-09-20 20:00:03,Here are a few facts about the particle physics of you that will get your electrons jumping. https://t.co/fyfHJYjTBn
910564218499252225,2017-09-20 18:00:01,SENSEI is looking for the lightest dark matter particles anyone has ever tried to detect: https://t.co/tz75pTTgQn
910548155082579968,2017-09-20 16:56:11,"Another @INFN_ translation for readers who speak Italian: ""Cosa accade davvero durante una collisione a LHC?"" https://t.co/LUwE6WpuXq"
910217772541419520,2017-09-19 19:03:22,RT @BrookhavenLab: We're celebrating our 70th anniversary as a national lab and the 100 years our site has served the nation! #BNL70 https:…
910207608899825664,2017-09-19 18:22:59,50 years of stories of daily life at @Fermilab: https://t.co/a4PsjjOSMM
910186745165221888,2017-09-19 17:00:05,What can tiny particles tell us about the vast cosmos?https://t.co/30fPFGMMkf
910050838957064195,2017-09-19 08:00:02,Meet the dark matter candidates: https://t.co/vGHfukbaIL
909833765446311936,2017-09-18 17:37:28,RT @uw_icecube: The sun still isn't officially up but the twilight creates some amazing pictures! https://t.co/f1a2s7rUA6 https://t.co/BTyK…
909809240713306112,2017-09-18 16:00:01,"Mass is a fundamental property of matter, but there’s still a lot about it we don’t understand.https://t.co/jHLPdNOoir"
909477061294559232,2017-09-17 18:00:03,“If you buy 10 tons in a year that's a quarter of the market.” https://t.co/OlYq2sB5nS
909446854055784449,2017-09-17 16:00:01,"“Dear Ms. Higgins,” began the email to an employee of Fermi National Accelerator Laboratory... https://t.co/Z91L7O7sIa"
909356261480812544,2017-09-17 10:00:02,Howie Day records love song to physics: https://t.co/Q74VwoCalm
909235464984342528,2017-09-17 02:00:02,Dehghan says that she was inspired by ideas such as the confinement of quarks via the strong force:  https://t.co/P50wHMX0JY
909099567806767106,2017-09-16 17:00:01,"Astronomers have worked to convince local governments to adopt better lighting ordinances: https://t.co/dz7cOGvKwZ"
909054277796093953,2017-09-16 14:00:03,People who tend crops and people who tend particle detectors have a need in common: https://t.co/CI2BWwKfnE
908772105264570368,2017-09-15 19:18:48,SENSEI will look for the lightest dark matter particles anyone has ever tried to detect: https://t.co/tz75pTTgQn
908601284596400128,2017-09-15 08:00:01,How heavy is a neutrino? https://t.co/dFD5LyYDBI
908525785992110081,2017-09-15 03:00:01,Who are the galaxies in your neighborhood? https://t.co/RgBeGV24kh
908389895206346752,2017-09-14 18:00:02,How to clean inside the LHC: https://t.co/JhGlBzC2Ik
908344590385729541,2017-09-14 15:00:01,How to build a universe: https://t.co/t4Ne8B3UYg
908197501747920896,2017-09-14 05:15:32,RT @KIPAC1: Outreach by @KIPAC1 members can take many forms. Case in point: Richard Partridge helping a local theatre company: https://t.co…
908057708279906304,2017-09-13 20:00:03,"Many theories predict the existence of magnetic monopoles, but experiments have yet to see them. https://t.co/bnO6dNPPpY"
907650013253206022,2017-09-12 17:00:01,AI can accurately analyze gravitational lenses 10 million times faster than traditional methods. https://t.co/TP2ctUJvbE
907644492261466112,2017-09-12 16:38:04,Astronomers are at the forefront of the fight against light pollution: https://t.co/dz7cOGvKwZ #darkskies
907514116473946112,2017-09-12 08:00:00,"Do you know your physics lingo? https://t.co/IqygLr5s0F"
907272542032822273,2017-09-11 16:00:04,A theory about gravity challenges our understanding of the universe: https://t.co/1BGq5kr9cI
906940336651546624,2017-09-10 18:00:01,Applied research is exploring the places you know; basic research is setting off and seeing where you wind up: https://t.co/pfjWwEG2PC
906910146114318336,2017-09-10 16:00:03,Technology for tending particle accelerators applied to tending crops: https://t.co/CI2BWwsEw6
906819538842537984,2017-09-10 10:00:00,What’s really happening during an LHC collision?https://t.co/5lMWmODZIV
906698743852003329,2017-09-10 02:00:00,DUNE joins the elite club of physics collaborations with more than 1000 members. https://t.co/vfPIObQQDL
906562849572478976,2017-09-09 17:00:01,"This week's top tweet: What can particles tell us about the cosmos? https://t.co/30fPFGvaVF"
906517552859275265,2017-09-09 14:00:01,Translating physics to dance: https://t.co/P50wHMX0JY
906201178676928512,2017-09-08 17:02:52,A humidity and temperature monitor developed for the @CMSexperiment finds a new home in Lebanon: https://t.co/CI2BWwKfnE
905561691873714176,2017-09-06 22:41:46,Communicating the beauty of particle physics through dance: https://t.co/P50wHMX0JY
905126545873702912,2017-09-05 17:52:39,Several current lines of inquiry link the very large (astrophysics) to the very small (particle physics): https://t.co/30fPFGvaVF
903527849046528000,2017-09-01 08:00:00,"Is the universe getting bigger or am I getting smaller? https://t.co/wiTAxkfq2V"
903452350769233920,2017-09-01 03:00:00,Dwarf galaxies make excellent laboratories in which to study dark matter: https://t.co/nIEN60cU9U
903210766479745024,2017-08-31 11:00:02,The hope for a theory of everything: https://t.co/PAwf5jRqW0
902984279403220992,2017-08-30 20:00:03,The era of multi-messenger astronomy promises rich rewards: https://t.co/ITOfTCbTc0
902954079537606656,2017-08-30 18:00:03,How does blind analysis work? https://t.co/5Hv4xi6XQK
902947354373959682,2017-08-30 17:33:19,Neural networks meet space: https://t.co/TP2ctUJvbE
902583914505621505,2017-08-29 17:29:09,The dance of the particles: https://t.co/P50wHMFpSq
902576584472772608,2017-08-29 17:00:01,A primer on gravitational wave detectors: https://t.co/YIEypvoURY
902184001087062017,2017-08-28 15:00:02,Last day to take the Symmetry reader survey (and possibly win a prize)! https://t.co/bp5Hw66Ez2 https://t.co/KOXRqxRnqx
901866914632404994,2017-08-27 18:00:02,A physics project kicks off construction a mile underground. https://t.co/K792VuahlJ
901836720211075072,2017-08-27 16:00:04,Take our reader survey for the chance to win a Symmetry t-shirt or a copy of The ABCs of Particle Physics:… https://t.co/VxvTOZFG16
901746114226823168,2017-08-27 10:00:01,Imagine planting a single seed and being able to predict the exact height of the tree that grows from it. https://t.co/5fRDStciBW
901625317214883841,2017-08-27 02:00:01,"At a recent meeting, scientists shared ideas for searching for dark matter on the (relative) cheap. https://t.co/ItzH10qIEU"
901489417797455874,2017-08-26 17:00:00,DUNE hits kilo-collaborator status:  https://t.co/vfPIObQQDL
901459234029793280,2017-08-26 15:00:04,This weekend is your last chance to see the exhibit! https://t.co/jZtPi0MMTv
901444127404851200,2017-08-26 14:00:02,"If you read Symmetry, please help us out by taking our reader survey: https://t.co/bp5Hw66Ez2 https://t.co/bb8f6z37FL"
901111931171479552,2017-08-25 16:00:00,Please help us by taking our quick reader survey. You could win a t-shirt or a copy of The ABCs of Particle Physics… https://t.co/kPBuTyPY4f
900991137833508864,2017-08-25 08:00:01,This video features an anti-potato: https://t.co/K5Ynj927a7
900915641950945280,2017-08-25 03:00:01,What to do when you find a bump in your data: https://t.co/AXkBgR6gpB
900897130444750849,2017-08-25 01:46:28,"RT @DUNEScience: The 4850.  We never get enough of it.  Photo Credit: E. Collett, LBNF Engineer. #LBNF #dunescience https://t.co/vySkIAIfvp"
900754499530235905,2017-08-24 16:19:42,"DUNE joins the elite club of physics collaborations with more than 1,000 members: https://t.co/vfPIOc8rvj"
900734456721534978,2017-08-24 15:00:03,[Video] How do you keep a particle inside a particle accelerator? https://t.co/bUHryKZhpf
900674048413253633,2017-08-24 11:00:01,What is a sterile neutrino? https://t.co/VvVplyaTtK
900658947979390976,2017-08-24 10:00:01,Please help us by taking our quick reader survey. You could win a t-shirt or a copy of The ABCs of Particle Physics… https://t.co/8SlIJl4ng9
900447558639550464,2017-08-23 20:00:02,Gamma rays (indirectly) gave life to Earth: https://t.co/nPXeJg2Sot
900417353728614400,2017-08-23 18:00:00,How insect-photography led to the discovery of a new type of galaxy: https://t.co/ic8qHDHiSk
900390800692879360,2017-08-23 16:14:29,Please help us by taking our quick reader survey. You could win a t-shirt or a copy of The ABCs of Particle Physics… https://t.co/rdIJY8s6Y0
900139269527752705,2017-08-22 23:35:00,Take our reader survey; you could win a copy of this book! https://t.co/bp5Hw66Ez2
900106726438875136,2017-08-22 21:25:41,"At a recent meeting, scientists shared ideas for searching for dark matter on the (relative) cheap: https://t.co/ItzH10Ijws"
900049044520574976,2017-08-22 17:36:28,Please help us by taking our quick reader survey. You could win a t-shirt or a copy of The ABCs of Particle Physics… https://t.co/RiI5C2r2kT
900039882978070530,2017-08-22 17:00:04,"For your future physicist: https://t.co/do03IMVqLp"
899903970004672512,2017-08-22 08:00:00,We didn't always have this view of the cosmos: https://t.co/9ry8sbIRvF
899662387263000577,2017-08-21 16:00:02,High schoolers take on solar eclipse science: https://t.co/kNQK1bDXUe
899330193948651524,2017-08-20 18:00:01,Turning science into art: https://t.co/ng8uupbYZm
899300002656247808,2017-08-20 16:00:03,QuarkNet takes on solar eclipse science: https://t.co/kNQK1bVyLM
899209397267607553,2017-08-20 10:00:01,"A new search for dark matter 6,800 feet underground: https://t.co/Ew88qNNLIC"
899088603359391745,2017-08-20 02:00:01,"FAST, a space for testing novel ideas that can lead to improved accelerator, beamline and laser technologies: https://t.co/TslngEu4ZA"
898952712527769600,2017-08-19 17:00:03,[Video] How does the LZ dark matter experiment work? https://t.co/ynP2S0hory
898907410659762177,2017-08-19 14:00:02,"During Monday's eclipse, high school students will use small-scale detectors to do particle physics research. https://t.co/kNQK1bDXUe"
898454418487627777,2017-08-18 08:00:00,"If atoms are mostly empty space, then why does anything feel solid?https://t.co/lb2xFCTimg"
898378921233797120,2017-08-18 03:00:00,Get to know the CERN Control Centre: https://t.co/bP5PyCTNMJ
898233958474801153,2017-08-17 17:23:58,@SJDJ Did you see this? https://t.co/kNQK1bVyLM
898197739187695616,2017-08-17 15:00:03,Small amounts of antimatter constantly rain down on the Earth in the form of cosmic rays. https://t.co/gkVy1aqBzM
897886848499896321,2017-08-16 18:24:41,High school students nationwide will study the effects of the solar eclipse on cosmic rays: https://t.co/kNQK1bVyLM
897865542882689024,2017-08-16 17:00:01,In case you need a break: Here's a small collection of physics love poems: https://t.co/eSt28niFWd
897558634212798464,2017-08-15 20:40:28,A video from @SLAClab explains how the upcoming LZ experiment will search for dark matter: https://t.co/ynP2S0hory
897503165062324225,2017-08-15 17:00:04,There’s more than gold in the Black Hills of South Dakota. https://t.co/zOc6daIMQs
897367256128266240,2017-08-15 08:00:00,"For your consideration, we’ve gathered seven of the quirkiest physics papers on the arXiv: https://t.co/jSGMUiQIpo"
897125664842764293,2017-08-14 16:00:00,"To theoretical physicist Erik Verlinde, the idea of dark matter is the geocentric model of the 21st century: https://t.co/1BGq5kIKBi"
896793488393633792,2017-08-13 18:00:03,Scientists wonder whether the pattern has a deeper explanation. https://t.co/UT2R0imiaK
896763282719072256,2017-08-13 16:00:02,An upcoming dark matter experiment will operate inside a nickel mine in Canada: https://t.co/Ew88qNNLIC
896672682485456897,2017-08-13 10:00:01,1. The oldest recorded supernova dates back almost 2000 years https://t.co/8oHsTIRdh2
896551884378353667,2017-08-13 02:00:01,"If protons are mortal, what happens to them when they die, and what does that mean for the stability of atoms? https://t.co/L72W3KSkx6"
896415987876102144,2017-08-12 17:00:00,Physicist Angela Fava has been at the enormous ICARUS detector’s side for over a decade. https://t.co/rg7Q1j0vlT
896370697001291776,2017-08-12 14:00:02,"Welcome to FAST, a space for testing novel ideas that can lead to new accelerator, beamline + laser technologies: https://t.co/TslngEctB0"
895917705215299584,2017-08-11 08:00:00,Five extreme facts about neutron stars: https://t.co/ECB81WBjZg
895842211144769536,2017-08-11 03:00:01,Black holes sound too strange to be real. But they are actually pretty common in space. https://t.co/INWWbDGDiI
895708954025639937,2017-08-10 18:10:30,The new Fermilab Accelerator Science and Technology facility at Fermilab looks to the future of accelerator science: https://t.co/TslngEctB0
895661021377028096,2017-08-10 15:00:02,One of the great puzzles for scientists is why there is more matter than antimatter in the universe: https://t.co/k76YG6Irpw
895600623743381504,2017-08-10 11:00:02,Imagine planting a single seed and being able to predict the exact height of the tree that grows from it. https://t.co/5fRDSsUHKo
895374128311619588,2017-08-09 20:00:02,Fermilab photographer shares the techniques he used to make some of his iconic images: https://t.co/APo1CR2V1P 
895343935479980032,2017-08-09 18:00:03,"On average, Americans are exposed to ~620 millirem of radiation per year:https://t.co/XmBIdYRPq1"
894968598552223745,2017-08-08 17:08:36,A new search for dark matter 6800 feet underground: https://t.co/Ew88qNNLIC
